Start,End,Open,High,Low,Close,Volume,Market Cap,SMA_5,SMA_7,SMA_20
2012-12-18 00:00:00,2012-12-19 00:00:00,13.299,13.299,13.299,13.299,0.0,0.0,13.38784,13.476885714285714,13.22408
2012-12-19 00:00:00,2012-12-20 00:00:00,13.599,13.599,13.599,13.599,0.0,0.0,13.387640000000001,13.462614285714285,13.28153
2012-12-20 00:00:00,2012-12-21 00:00:00,13.5246,13.5246,13.5246,13.5246,0.0,0.0,13.394540000000001,13.437542857142857,13.329509999999999
2012-12-21 00:00:00,2012-12-22 00:00:00,13.5,13.5,13.5,13.5,0.0,0.0,13.434540000000002,13.423257142857143,13.376410000000002
2012-12-22 00:00:00,2012-12-23 00:00:00,13.3714,13.3714,13.3714,13.3714,0.0,0.0,13.4588,13.4063,13.41998
2012-12-23 00:00:00,2012-12-24 00:00:00,13.312,13.312,13.312,13.312,0.0,0.0,13.461400000000001,13.408014285714286,13.45163
2012-12-24 00:00:00,2012-12-25 00:00:00,13.38,13.38,13.38,13.38,0.0,0.0,13.417599999999998,13.42657142857143,13.450130000000001
2012-12-25 00:00:00,2012-12-26 00:00:00,13.35,13.35,13.35,13.35,0.0,0.0,13.382679999999999,13.433857142857144,13.44863
2012-12-26 00:00:00,2012-12-27 00:00:00,13.4679,13.4679,13.4679,13.4679,0.0,0.0,13.376259999999998,13.415128571428571,13.457075
2012-12-27 00:00:00,2012-12-28 00:00:00,13.4217,13.4217,13.4217,13.4217,0.0,0.0,13.386320000000001,13.400428571428572,13.453165000000002
2012-12-28 00:00:00,2012-12-29 00:00:00,13.4212,13.4212,13.4212,13.4212,0.0,0.0,13.40816,13.389171428571428,13.453219999999998
2012-12-29 00:00:00,2012-12-30 00:00:00,13.4,13.4,13.4,13.4,0.0,0.0,13.41216,13.393257142857143,13.453820000000002
2012-12-30 00:00:00,2012-12-31 00:00:00,13.45,13.45,13.45,13.45,0.0,0.0,13.43216,13.412971428571428,13.45465
2012-12-31 00:00:00,2013-01-01 00:00:00,13.51,13.51,13.51,13.51,0.0,0.0,13.44058,13.431542857142857,13.4523
2013-01-01 00:00:00,2013-01-02 00:00:00,13.3041,13.3041,13.3041,13.3041,0.0,0.0,13.417059999999998,13.424985714285715,13.43256
2013-01-02 00:00:00,2013-01-03 00:00:00,13.28,13.28,13.28,13.28,0.0,0.0,13.388819999999999,13.398142857142858,13.411554999999998
2013-01-03 00:00:00,2013-01-04 00:00:00,13.3979,13.3979,13.3979,13.3979,0.0,0.0,13.388399999999999,13.394742857142857,13.40145
2013-01-04 00:00:00,2013-01-05 00:00:00,13.5,13.5,13.5,13.5,0.0,0.0,13.398399999999999,13.406,13.401945000000001
2013-01-05 00:00:00,2013-01-06 00:00:00,13.44,13.44,13.44,13.44,0.0,0.0,13.3844,13.411714285714284,13.408945
2013-01-06 00:00:00,2013-01-07 00:00:00,13.454,13.454,13.454,13.454,0.0,0.0,13.41438,13.412285714285716,13.419139999999999
2013-01-07 00:00:00,2013-01-08 00:00:00,13.5876,13.5876,13.5876,13.5876,0.0,0.0,13.4759,13.423371428571429,13.43357
2013-01-08 00:00:00,2013-01-09 00:00:00,13.7428,13.7428,13.7428,13.7428,0.0,0.0,13.544880000000001,13.486042857142857,13.440760000000001
2013-01-09 00:00:00,2013-01-10 00:00:00,13.77,13.77,13.77,13.77,0.0,0.0,13.59888,13.556042857142856,13.453030000000002
2013-01-10 00:00:00,2013-01-11 00:00:00,14.14,14.14,14.14,14.14,0.0,0.0,13.73888,13.662057142857142,13.48503
2013-01-11 00:00:00,2013-01-12 00:00:00,14.137,14.137,14.137,14.137,0.0,0.0,13.87548,13.753057142857143,13.52331
2013-01-12 00:00:00,2013-01-13 00:00:00,14.237,14.237,14.237,14.237,0.0,0.0,14.00536,13.866914285714286,13.569560000000001
2013-01-13 00:00:00,2013-01-14 00:00:00,14.116,14.116,14.116,14.116,0.0,0.0,14.079999999999998,13.961485714285715,13.60636
2013-01-14 00:00:00,2013-01-15 00:00:00,14.3,14.3,14.3,14.3,0.0,0.0,14.186000000000002,14.063257142857143,13.65386
2013-01-15 00:00:00,2013-01-16 00:00:00,14.25,14.25,14.25,14.25,0.0,0.0,14.208000000000002,14.135714285714286,13.692965000000001
2013-01-16 00:00:00,2013-01-17 00:00:00,14.73,14.73,14.73,14.73,0.0,0.0,14.3266,14.272857142857143,13.758379999999999
2013-01-17 00:00:00,2013-01-18 00:00:00,15.5,15.5,15.5,15.5,0.0,0.0,14.5792,14.467142857142859,13.86232
2013-01-18 00:00:00,2013-01-19 00:00:00,15.705,15.705,15.705,15.705,0.0,0.0,14.897,14.691142857142859,13.97757
2013-01-19 00:00:00,2013-01-20 00:00:00,15.615,15.615,15.615,15.615,0.0,0.0,15.16,14.888,14.085819999999998
2013-01-20 00:00:00,2013-01-21 00:00:00,15.7,15.7,15.7,15.7,0.0,0.0,15.45,15.114285714285714,14.19532
2013-01-21 00:00:00,2013-01-22 00:00:00,16.8,16.8,16.8,16.8,0.0,0.0,15.863999999999999,15.471428571428572,14.370114999999998
2013-01-22 00:00:00,2013-01-23 00:00:00,17.2614,17.2614,17.2614,17.2614,0.0,0.0,16.21628,15.90162857142857,14.569185000000001
2013-01-23 00:00:00,2013-01-24 00:00:00,17.5,17.5,17.5,17.5,0.0,0.0,16.57528,16.29734285714286,14.774290000000002
2013-01-24 00:00:00,2013-01-25 00:00:00,16.896,16.896,16.896,16.896,0.0,0.0,16.831480000000003,16.496771428571428,14.944090000000003
2013-01-25 00:00:00,2013-01-26 00:00:00,17.4,17.4,17.4,17.4,0.0,0.0,17.17148,16.738914285714284,15.142090000000001
2013-01-26 00:00:00,2013-01-27 00:00:00,17.88,17.88,17.88,17.88,0.0,0.0,17.38748,17.062485714285714,15.36339
2013-01-27 00:00:00,2013-01-28 00:00:00,17.8182,17.8182,17.8182,17.8182,0.0,0.0,17.498839999999998,17.365085714285716,15.57492
2013-01-28 00:00:00,2013-01-29 00:00:00,18.721,18.721,18.721,18.721,0.0,0.0,17.74304,17.639514285714284,15.823830000000001
2013-01-29 00:00:00,2013-01-30 00:00:00,19.5254,19.5254,19.5254,19.5254,0.0,0.0,18.26892,17.962942857142856,16.1116
2013-01-30 00:00:00,2013-01-31 00:00:00,19.7,19.7,19.7,19.7,0.0,0.0,18.72892,18.277228571428573,16.3896
2013-01-31 00:00:00,2013-02-01 00:00:00,20.41,20.41,20.41,20.41,0.0,0.0,19.234920000000002,18.779228571428572,16.70325
2013-02-01 00:00:00,2013-02-02 00:00:00,20.499,20.499,20.499,20.499,0.0,0.0,19.77108,19.221942857142857,17.01635
2013-02-02 00:00:00,2013-02-03 00:00:00,19.63,19.63,19.63,19.63,0.0,0.0,19.95288,19.471942857142857,17.29205
2013-02-03 00:00:00,2013-02-04 00:00:00,20.59,20.59,20.59,20.59,0.0,0.0,20.165799999999997,19.867914285714285,17.60655
2013-02-04 00:00:00,2013-02-05 00:00:00,20.4301,20.4301,20.4301,20.4301,0.0,0.0,20.311819999999997,20.112071428571426,17.915554999999998
2013-02-05 00:00:00,2013-02-06 00:00:00,20.6,20.6,20.6,20.6,0.0,0.0,20.34982,20.265585714285717,18.209055
2013-02-06 00:00:00,2013-02-07 00:00:00,21.18,21.18,21.18,21.18,0.0,0.0,20.48602,20.477014285714287,18.493055000000002
2013-02-07 00:00:00,2013-02-08 00:00:00,22.15,22.15,22.15,22.15,0.0,0.0,20.99002,20.725585714285717,18.815305
2013-02-08 00:00:00,2013-02-09 00:00:00,22.66,22.66,22.66,22.66,0.0,0.0,21.40402,21.0343,19.167555
2013-02-09 00:00:00,2013-02-10 00:00:00,23.65,23.65,23.65,23.65,0.0,0.0,22.048000000000002,21.608585714285713,19.565054999999997
2013-02-10 00:00:00,2013-02-11 00:00:00,23.9698,23.9698,23.9698,23.9698,0.0,0.0,22.72196,22.091414285714283,19.923544999999997
2013-02-11 00:00:00,2013-02-12 00:00:00,24.65,24.65,24.65,24.65,0.0,0.0,23.415960000000002,22.694257142857143,20.292975
2013-02-12 00:00:00,2013-02-13 00:00:00,25.1698,25.1698,25.1698,25.1698,0.0,0.0,24.01992,23.347085714285715,20.676465
2013-02-13 00:00:00,2013-02-14 00:00:00,24.2,24.2,24.2,24.2,0.0,0.0,24.32792,23.778514285714287,21.041665
2013-02-14 00:00:00,2013-02-15 00:00:00,27.2205,27.2205,27.2205,27.2205,0.0,0.0,25.042019999999997,24.50287142857143,21.53269
2013-02-15 00:00:00,2013-02-16 00:00:00,27.1,27.1,27.1,27.1,0.0,0.0,25.668060000000004,25.137157142857145,21.99369
2013-02-16 00:00:00,2013-02-17 00:00:00,27.2158,27.2158,27.2158,27.2158,0.0,0.0,26.181219999999996,25.646557142857144,22.46357
2013-02-17 00:00:00,2013-02-18 00:00:00,26.8146,26.8146,26.8146,26.8146,0.0,0.0,26.510180000000002,26.052957142857142,22.86825
2013-02-18 00:00:00,2013-02-19 00:00:00,26.95,26.95,26.95,26.95,0.0,0.0,27.060180000000003,26.38152857142857,23.23948
2013-02-19 00:00:00,2013-02-20 00:00:00,29.4176,29.4176,29.4176,29.4176,0.0,0.0,27.499599999999997,26.988357142857144,23.725360000000002
2013-02-20 00:00:00,2013-02-21 00:00:00,29.645,29.645,29.645,29.645,0.0,0.0,28.0086,27.766214285714284,24.18711
2013-02-21 00:00:00,2013-02-22 00:00:00,29.7477,29.7477,29.7477,29.7477,0.0,0.0,28.514979999999998,28.127242857142853,24.649544999999996
2013-02-22 00:00:00,2013-02-23 00:00:00,30.2454,30.2454,30.2454,30.2454,0.0,0.0,29.20114,28.57658571428571,25.180315
2013-02-23 00:00:00,2013-02-24 00:00:00,29.8,29.8,29.8,29.8,0.0,0.0,29.771139999999995,28.94575714285714,25.640814999999996
2013-02-24 00:00:00,2013-02-25 00:00:00,29.89,29.89,29.89,29.89,0.0,0.0,29.86562,29.3851,26.11381
2013-02-25 00:00:00,2013-02-26 00:00:00,30.4,30.4,30.4,30.4,0.0,0.0,30.01662,29.877957142857138,26.60381
2013-02-26 00:00:00,2013-02-27 00:00:00,31.1,31.1,31.1,31.1,0.0,0.0,30.287079999999996,30.1183,27.09981
2013-02-27 00:00:00,2013-02-28 00:00:00,30.9012,30.9012,30.9012,30.9012,0.0,0.0,30.418240000000004,30.297757142857144,27.53737
2013-02-28 00:00:00,2013-03-01 00:00:00,33.38,33.38,33.38,33.38,0.0,0.0,31.13424,30.816657142857142,28.07337
2013-03-01 00:00:00,2013-03-02 00:00:00,34.5,34.5,34.5,34.5,0.0,0.0,32.05624,31.424457142857143,28.615869999999994
2013-03-02 00:00:00,2013-03-03 00:00:00,34.25,34.25,34.25,34.25,0.0,0.0,32.82624,32.06017142857143,29.129879999999996
2013-03-03 00:00:00,2013-03-04 00:00:00,34.5,34.5,34.5,34.5,0.0,0.0,33.506240000000005,32.71874285714286,29.62238
2013-03-04 00:00:00,2013-03-05 00:00:00,36.152,36.152,36.152,36.152,0.0,0.0,34.556400000000004,33.54045714285714,30.17149
